 ,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360
LLO 1,56.6233766233766,58.4415584415584,56.3636363636364,58.4415584415584,56.8831168831169,58.4415584415584,56.3636363636364,58.4415584415584,56.6233766233766,58.4415584415584,56.1038961038961,58.1818181818182,56.3636363636364,58.7012987012987,56.3636363636364,58.1818181818182,56.3636363636364,58.1818181818182,56.6233766233766
LLO 2,56.6233766233766,58.4415584415584,56.6233766233766,58.4415584415584,56.8831168831169,58.4415584415584,56.3636363636364,58.4415584415584,56.6233766233766,58.4415584415584,56.3636363636364,58.1818181818182,56.3636363636364,58.4415584415584,56.3636363636364,58.1818181818182,56.3636363636364,58.1818181818182,56.6233766233766
LLO 3,56.8831168831169,58.1818181818182,56.6233766233766,58.1818181818182,56.8831168831169,58.4415584415584,56.6233766233766,58.1818181818182,56.6233766233766,58.4415584415584,56.3636363636364,57.9220779220779,56.3636363636364,58.4415584415584,56.3636363636364,58.1818181818182,56.3636363636364,58.1818181818182,56.8831168831169
LLO 4,59.7402597402597,58.7012987012987,58.7012987012987,59.2207792207792,60.2597402597403,59.4805194805195,58.7012987012987,58.961038961039,60.5194805194805,60,58.961038961039,58.7012987012987,59.4805194805195,60.5194805194805,59.2207792207792,58.7012987012987,58.7012987012987,60,59.7402597402597
LLO 5,59.7402597402597,58.7012987012987,58.7012987012987,59.2207792207792,60.2597402597403,59.2207792207792,58.7012987012987,59.2207792207792,60.5194805194805,60,58.961038961039,58.7012987012987,59.4805194805195,60.5194805194805,59.2207792207792,58.7012987012987,58.7012987012987,60,59.7402597402597
LLO 6,59.7402597402597,58.7012987012987,58.7012987012987,59.4805194805195,60.5194805194805,59.4805194805195,58.961038961039,59.2207792207792,60.5194805194805,60,58.961038961039,58.961038961039,59.7402597402597,60.5194805194805,59.2207792207792,58.7012987012987,58.7012987012987,60,59.7402597402597
halo 1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
lyapunov 1,99.7402597402597,100,100,100,98.961038961039,98.961038961039,98.961038961039,98.961038961039,98.7012987012987,99.2207792207792,100,100,100,99.7402597402597,99.4805194805195,99.4805194805195,99.4805194805195,99.7402597402597,99.7402597402597
lyapunov 2,99.4805194805195,100,98.4415584415584,98.4415584415584,98.4415584415584,98.4415584415584,98.4415584415584,98.7012987012987,98.7012987012987,99.2207792207792,100,99.2207792207792,99.4805194805195,99.4805194805195,99.4805194805195,99.2207792207792,99.2207792207792,99.2207792207792,99.4805194805195
DRO 1,100,100,100,98.961038961039,98.961038961039,98.961038961039,98.961038961039,98.961038961039,98.961038961039,99.4805194805195,100,100,100,100,100,100,100,100,100
DRO 2,99.4805194805195,98.7012987012987,98.7012987012987,98.961038961039,98.961038961039,98.7012987012987,98.7012987012987,98.961038961039,98.961038961039,99.2207792207792,100,100,100,100,100,100,100,100,99.4805194805195
DRO 3,98.7012987012987,98.7012987012987,98.7012987012987,98.7012987012987,98.961038961039,98.961038961039,97.6623376623377,97.6623376623377,97.6623376623377,98.1818181818182,98.7012987012987,98.7012987012987,98.7012987012987,98.7012987012987,98.7012987012987,98.961038961039,98.961038961039,98.961038961039,98.7012987012987
DRO 4,95.8441558441558,95.0649350649351,95.0649350649351,95.0649350649351,95.0649350649351,95.3246753246753,95.3246753246753,95.3246753246753,95.0649350649351,95.3246753246753,95.8441558441558,95.8441558441558,95.8441558441558,95.8441558441558,96.1038961038961,96.1038961038961,96.1038961038961,96.1038961038961,95.8441558441558
