 ,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360
LLO 1,1.03092783505155,1.03092783505155,0,1.03092783505155,0,1.03092783505155,0,0,0,1.03092783505155,0,1.03092783505155,0,0,0,1.03092783505155,1.03092783505155,1.03092783505155,1.03092783505155
LLO 2,1.03092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03092783505155,0,1.03092783505155
LLO 3,1.03092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03092783505155,0,1.03092783505155
LLO 4,2.06185567010309,1.03092783505155,1.03092783505155,1.03092783505155,1.03092783505155,1.03092783505155,1.03092783505155,1.03092783505155,1.03092783505155,1.03092783505155,1.03092783505155,1.03092783505155,1.03092783505155,1.03092783505155,1.03092783505155,1.03092783505155,1.03092783505155,1.03092783505155,2.06185567010309
LLO 5,1.03092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03092783505155,1.03092783505155,1.03092783505155
LLO 6,1.03092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03092783505155,1.03092783505155
halo 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 9,12.3711340206186,2.06185567010309,0,0,0,0,0,0,9.27835051546392,19.5876288659794,22.680412371134,23.7113402061856,22.680412371134,22.680412371134,22.680412371134,22.680412371134,22.680412371134,21.6494845360825,12.3711340206186
halo 10,12.3711340206186,2.06185567010309,0,0,0,0,0,0,9.27835051546392,19.5876288659794,22.680412371134,23.7113402061856,22.680412371134,22.680412371134,22.680412371134,22.680412371134,22.680412371134,21.6494845360825,12.3711340206186
lyapunov 1,1.03092783505155,0,0,3.09278350515464,21.6494845360825,31.9587628865979,31.9587628865979,31.9587628865979,31.9587628865979,16.4948453608247,0,0,0,1.03092783505155,1.03092783505155,0,0,0,1.03092783505155
lyapunov 2,2.06185567010309,8.24742268041237,21.6494845360825,31.9587628865979,31.9587628865979,31.9587628865979,31.9587628865979,31.9587628865979,29.8969072164948,16.4948453608247,3.09278350515464,3.09278350515464,3.09278350515464,3.09278350515464,3.09278350515464,3.09278350515464,3.09278350515464,3.09278350515464,2.06185567010309
DRO 1,0,0,7.21649484536082,21.6494845360825,28.8659793814433,28.8659793814433,28.8659793814433,28.8659793814433,28.8659793814433,15.4639175257732,0,0,0,0,0,0,0,0,0
DRO 2,12.3711340206186,23.7113402061856,23.7113402061856,23.7113402061856,24.7422680412371,23.7113402061856,23.7113402061856,24.7422680412371,23.7113402061856,12.3711340206186,1.03092783505155,0,0,0,0,0,0,1.03092783505155,12.3711340206186
DRO 3,12.3711340206186,12.3711340206186,12.3711340206186,12.3711340206186,12.3711340206186,15.4639175257732,19.5876288659794,24.7422680412371,23.7113402061856,19.5876288659794,14.4329896907216,12.3711340206186,13.4020618556701,12.3711340206186,12.3711340206186,12.3711340206186,12.3711340206186,12.3711340206186,12.3711340206186
DRO 4,14.4329896907216,15.4639175257732,15.4639175257732,15.4639175257732,15.4639175257732,15.4639175257732,15.4639175257732,15.4639175257732,15.4639175257732,14.4329896907216,13.4020618556701,12.3711340206186,12.3711340206186,13.4020618556701,13.4020618556701,13.4020618556701,13.4020618556701,13.4020618556701,14.4329896907216
