 ,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360
LLO 1,56.4766839378238,58.0310880829015,56.4766839378238,58.0310880829015,56.9948186528497,58.5492227979275,55.9585492227979,58.5492227979275,56.4766839378238,58.0310880829015,56.4766839378238,58.0310880829015,56.4766839378238,59.0673575129534,56.4766839378238,58.5492227979275,56.4766839378238,58.0310880829015,56.4766839378238
LLO 2,56.4766839378238,58.0310880829015,56.4766839378238,58.0310880829015,56.9948186528497,58.5492227979275,55.9585492227979,58.5492227979275,56.4766839378238,58.0310880829015,56.4766839378238,58.0310880829015,56.4766839378238,59.0673575129534,56.4766839378238,58.5492227979275,56.4766839378238,58.0310880829015,56.4766839378238
LLO 3,56.4766839378238,58.0310880829015,56.4766839378238,58.0310880829015,56.9948186528497,58.5492227979275,56.4766839378238,58.0310880829015,56.4766839378238,58.0310880829015,56.4766839378238,58.0310880829015,56.4766839378238,59.0673575129534,56.4766839378238,58.5492227979275,56.4766839378238,58.0310880829015,56.4766839378238
LLO 4,58.5492227979275,58.5492227979275,58.5492227979275,59.5854922279793,61.6580310880829,60.1036269430052,58.5492227979275,58.5492227979275,59.0673575129534,59.0673575129534,59.0673575129534,59.0673575129534,60.6217616580311,62.1761658031088,59.5854922279793,58.5492227979275,58.5492227979275,58.5492227979275,58.5492227979275
LLO 5,58.5492227979275,58.5492227979275,58.5492227979275,59.5854922279793,61.6580310880829,59.5854922279793,58.5492227979275,59.0673575129534,59.0673575129534,59.0673575129534,59.0673575129534,59.0673575129534,60.6217616580311,62.1761658031088,59.5854922279793,58.5492227979275,58.5492227979275,58.5492227979275,58.5492227979275
LLO 6,58.5492227979275,58.5492227979275,58.5492227979275,60.1036269430052,62.1761658031088,60.1036269430052,59.0673575129534,59.0673575129534,59.0673575129534,59.0673575129534,59.0673575129534,59.0673575129534,60.6217616580311,62.1761658031088,59.5854922279793,58.5492227979275,58.5492227979275,58.5492227979275,58.5492227979275
halo 1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
lyapunov 1,99.4818652849741,100,100,100,98.9637305699482,98.9637305699482,98.9637305699482,98.9637305699482,98.9637305699482,98.9637305699482,100,100,100,99.4818652849741,99.4818652849741,99.4818652849741,99.4818652849741,100,99.4818652849741
lyapunov 2,99.4818652849741,100,98.4455958549223,98.4455958549223,98.4455958549223,98.4455958549223,98.4455958549223,98.4455958549223,98.4455958549223,98.9637305699482,100,98.9637305699482,99.4818652849741,99.4818652849741,99.4818652849741,99.4818652849741,99.4818652849741,99.4818652849741,99.4818652849741
DRO 1,100,100,100,98.9637305699482,98.9637305699482,98.9637305699482,98.9637305699482,98.9637305699482,98.9637305699482,99.4818652849741,100,100,100,100,100,100,100,100,100
DRO 2,99.4818652849741,98.4455958549223,98.9637305699482,98.9637305699482,98.9637305699482,98.9637305699482,98.4455958549223,98.9637305699482,98.9637305699482,98.9637305699482,100,100,100,100,100,100,100,100,99.4818652849741
DRO 3,98.9637305699482,98.9637305699482,98.9637305699482,98.9637305699482,98.9637305699482,98.9637305699482,97.9274611398964,97.4093264248705,97.4093264248705,97.9274611398964,98.4455958549223,98.4455958549223,98.4455958549223,98.4455958549223,98.4455958549223,98.9637305699482,98.9637305699482,98.9637305699482,98.9637305699482
DRO 4,94.8186528497409,94.8186528497409,95.3367875647668,95.8549222797927,96.3730569948187,96.8911917098446,96.8911917098446,96.8911917098446,96.3730569948187,95.8549222797927,95.8549222797927,95.3367875647668,95.3367875647668,94.8186528497409,94.8186528497409,94.8186528497409,94.8186528497409,94.8186528497409,94.8186528497409
